Temperature,Mean_unit_molar_ellipticity
1.12,-11069.83
2.11,-10700.89
3.1,-10688.17
4.1,-10589.44
5.1,-10460.33
6.1,-10360.78
7.1,-10043.22
8.09,-10345.5
9.09,-9647.67
10.09,-9706.78
11.09,-9422.06
12.08,-9819.5
13.08,-9094
14.08,-9201.11
15.08,-8999.83
16.07,-8801
17.08,-8637.17
18.09,-8402
19.12,-8266.56
20.18,-8075.39
21.18,-8290.78
22.12,-8209.83
23.09,-8084
24.08,-7924.44
25.07,-7734.78
26.08,-7701.78
27.07,-7705.11
28.05,-7456.06
29.07,-7455.83
30.07,-7349.89
31.08,-7313.83
32.07,-7208.89
33.07,-6942.67
34.08,-6915.89
35.07,-7049.83
36.06,-6981.78
37.08,-6577.78
38.08,-6708.61
39.07,-6838.28
40.07,-6538.06
41.07,-6365.89
42.08,-6586
43.07,-6759.5
44.07,-6234.33
45.07,-6558.72
46.07,-6125.83
47.06,-6161.89
48.07,-6188.06
49.08,-5866.83
50.07,-5789.11
51.06,-5704.39
52.07,-5934.44
53.08,-6020.28
54.06,-5577.28
55.06,-5755.78
56.06,-5672.17
57.07,-5644.83
58.06,-5818.39
59.06,-5329.47
60.06,-5798.44
61.06,-5218.51
62.06,-4877.26
63.07,-5162.91
64.05,-5278.13
65.05,-5444.81
66.06,-4919.57
67.07,-5109.64
68.05,-5229.65
69.06,-5516.07
70.06,-5257.53
71.05,-4957.19
72.05,-5232.09
73.06,-5284.17
74.06,-4752.57
75.05,-5110.04
76.06,-4953.99
77.06,-4712.05
78.05,-4944.1
79.06,-5042.3
80.08,-5107.89
81.09,-5099.61
82.08,-4752.63
83.09,-5221.63
84.08,-4798.39
85.09,-4603.33
86.08,-4672.65
87.09,-4727.24
88.09,-4482.25
89.09,-4829.57
90.1,-4728.86
91.09,-4944.09
92.09,-4723.11
93.1,-4786.24
94.1,-4587.07
